n,rel,escala,grupo,nome,name,x en,y en,x pt,y pt,texto,ENDEREÇO,TELEFONE,HORÁRIO DE FUNCIONAMENTO,E-MAIL,SITE,text,ADDRESS,PHONE,OPENING TIMES,E-MAIL,SITE,ARQUITETO,PERÍODO DE CONSTRUÇÃO,LOCALIZAÇÃO,TOMBAMENTO,ARCHITECT,CONSTRUCTION PERIOD,LOCATION,LISTING,ARTES,HISTÓRIA,NATUREZA,TÉCNICA,EDUCAÇÃO E CULTURA,MUSEU,ACERVO,PATRIMÔNIO CULTURAL,CENTRO DE EXTENSÃO,HERBARIO
3,4,2,museu,Museu de Arte Contemporânea,Museum of Contemporary Art,980,540,980,540,"O MAC é um dos mais importantes museus de arte moderna e contemporânea da América Latina. Contando com aproximadamente 8.000 obras, a coleção do museu cobre um período que vai das vanguardas históricas do início do século XX aos dias atuais. <br />Criado em 1963, quando a USP recebeu as coleções originárias do Museu de Arte Moderna de São Paulo, como museu universitário seu principal objetivo é pesquisar e divulgar conhecimento nas áreas de Arte, Teoria e Crítica e Arte Educação, por meio de seminários, exposições, palestras e conferências.<br />O MAC está neste momento transferindo parte de suas atividades para um edifício no Parque Ibirapuera projetado por Oscar Niemeyer. ","Cid. Universitária: Rua da Reitoria, 160, Cid. Universitária, São Paulo, SP. Nova sede: Av. Pedro Álvares Cabral, 1301, Ibirapuera, São Paulo, SP.",+ 55 11 3091 3028,Terça feira a Domingo: 10h00 às 18h00,"mac@usp.br
",www.mac.usp.br,"The Museum of Contemporary Art of the University of Sao Paulo is one of the most important museums of modern and contemporary art in Latin America. Holding approximately 8,000 artworks, the museum collection covers a period from the modernist avant-gardes in the beginning of the 20th century to the present day.<br />It was created in 1963, when the University of Sao Paulo received the art collections of the Museum of Modern Art of Sao Paulo. As a university museum, its main aim is research and dissemination of knowledge in the fields of art, theory and criticism, and art education, through exhibitions, lectures, conferences and seminars.<br />The Museum is now transferring part of its activities to one of Oscar Niemeyer’s buildings at Ibirapuera Park.","Rua da Reitoria, 160, Cid. Universitária, São Paulo, SP. New Headquarters: Av. Pedro Álvares Cabral, 1301, Ibirapuera, São Paulo, SP",+ 55 11 3091 3028,Tuesday to Sunday: 10AM- 6PM,"mac@usp.br
",www.mac.usp.br,,,,,,,,,1,,,,1,1,,1,,
5,34,2,museu,Museu de Zoologia,Zoology Museum,1234,553,1234,553,"Centro de referência na produção de conhecimento sobre a Biodiversidade, o Museu possui uma das maiores coleções de animais brasileiros do mundo e administra a Estação Biológica de Boracéia, uma reserva de Floresta Atlântica no Estado de São Paulo.<br />Desempenha um importante papel na formação de zoólogos e museólogos, por meio de Programas de Pós-Graduação em Sistemática, Taxonomia Animal e Biodiversidade, e Interunidades em Museologia.<br />Suas exposições articulam a biodiversidade com a evolução biológica e a educação patrimonial para a sustentabilidade.","Avenida Nazaré, 481, Ipiranga, São Paulo, SP",+55 11 2065 8100,Temporariamente fechado para reforma.,mz@edu.usp.br,www.mz.usp.br,"It is a reference centre in the production of knowledge concerning biodiversity, holding one of the world’s largest collections of Brazilian animals. In addition, the Museum administers the Boraceia Biological Facility, a natural reserve of Atlantic rainforest in the state of Sao Paulo.<br />It also performs an important role in educating zoologists and museologists through its our graduate programmes in Systematics, Animal Taxonomy and Biodiversity, and Museology.<br />Its exhibitions articulate biodiversity, biological evolution and education in cultural heritage for sustainability.","Avenida Nazaré, 481, Ipiranga, São Paulo, SP",+55 11 2065 8100,Temporarily closed for renovation,mz@edu.usp.br,www.mz.usp.br,,,,,,,,,,,1,,,1,,,,
7,,2,museu,Museu de Ciências,Museum of Sciences,1120,750,1161,777,"Promove a integração entre acervos e coleções das diferentes instituições; difunde, articula e valoriza o patrimônio cultural e científico da USP, formando uma rede interligada de conhecimento. O Museu é virtual e não possui acervo físico, seu objetivo é realizar a difusão das diversas exposições e outras atividades museológicas realizadas pela USP.","Avenida Miguel Stefano, 4200, Prédio 7, Água Funda, São Paulo, SP.",+ 55 11 5077 6335,Museu Virtual,mc@usp.br,www.usp.br/mc,"The Museum of Sciences promotes integration between collections from different institutions. It disseminates, articulates and recognises the value of the cultural and scientific heritage of the University of Sao Paulo, creating an interconnected network of knowledge. The museum is virtual, holding no physical collection; instead, its goal is to disseminate the various exhibitions and other museum activities carried out by USP.","Avenida Miguel Stefano, 4200, Prédio 7, Água Funda, São Paulo, SP",+ 55 11 5077 6335,Virtual Museum,mc@usp.br,www.usp.br/mc,,,,,,,,,,,,,1,,,,,1
9,,2,museu,Estação Ciência,Science Station,580,20,714,128,"Trata-se de um centro de ciências dinâmico e interativo que realiza exposições e atividades nas áreas de Ciência e Tecnologia, além de cursos, eventos e outras atividades, com o objetivo de popularizar a ciência e promover a divulgação do conhecimento de forma lúdica e prazerosa. ","Rua Guaicurus, 1394, Lapa, São Paulo, SP",+ 55 11 3871 6755 ,Temporariamente fechado para reforma,info@eciencia.usp.br,www.eciencia.usp.br/,"The Science Station is a dynamic and interactive institution that holds exhibitions and promotes activities in science and technology. In addition, it organises courses and events aimed at popularising science and disseminating knowledge in a playful and entertaining manner.","Rua Guaicurus, 1394, Lapa, São Paulo, SP",+ 55 11 3871 6755 ,Temporarily closed for renovation,info@eciencia.usp.br,www.eciencia.usp.br/,,,,,,,,,,,,1,1,,,,,1
17,29,2,museu,Museu Histórico Prof. Carlos da Silva Lacaz,The Prof. Carlos da Silva Lacaz Historical Museum,480,310,561,310,"Fundado em 1977 por Carlos da Silva Lacaz, o Museu tornou-se o primeiro museu de cultura médica do Brasil. O acervo do Museu conta com uma ampla documentação institucional e relativa à História da Medicina, também possui diversas coleções iconográficas, fílmicas e de objetos tridimensionais.","Av. Dr. Arnaldo, 455, Cerqueira Cesar, São Paulo, SP.",+55 11 3061 7249,Segunda a Sexta: 9h00 às 17h00,mhistorico@museu.fm.usp.br,www.fm.usp.br/museu,"The Historical Museum, founded in 1977 by Carlos da Silva Lacaz, is the first museum in Brazil dedicated to the culture of medicine. Its collection comprises rich institutional record and documentation concerning the history of medicine. In addition, the museum has several collections of iconographic, filmic and three-dimensional objects.","Av. Dr. Arnaldo, 455, Cerqueira Cesar, São Paulo, SP",+55 11 3061 7249,Monday to Friday: 9AM - 5PM,mhistorico@museu.fm.usp.br,www.fm.usp.br/museu,,,,,,,,,,1,1,,,1,,,,
21,1,2,bem,Casa de Dona Yayá,Yayá's House,912,344,912,344,"São PauloA casa é um interessante exemplar da arquitetura eclética, constituindo-se num remanescente das casas de chácara que caracterizavam a periferia imediata de São Paulo no final do século XIX e início do século XX. Registra em seus espaços a história da forma social de tratar a loucura na primeira metade do século XX ao abrigar na antiga residência um sanatório particular para os cuidados de Dona Yayá. Pertence desde 1969 à Universidade de São Paulo e, desde 2004, abriga o Centro de Preservação Cultural da USP.",,,,,,"From 1949 to 1968, the complex held the School of Philosophy, Sciences and Languages at the University of Sao Paulo. It is composed of the buildings Rui Barbosa and Joaquim Nabuco, which stand out in the surroundings due to the six-column marquee on the façade. Being the stage of various political demonstrations and debates during the 1960s, it became a symbol of political resistance and of the student movement.",,,,,,Autoria desconhecida,segunda metade século XIX,"Rua Major Diogo, 353 – Bexiga, São Paulo, SP","Condephaat (1998), Conpresp (1990)",Unknown,Second half of the 19th century,"Rua Major Diogo 353, Sao Paulo, SP","Condephaat (1998), Conpresp (1990)",1,1,,,,,,1,,
24,,2,bem,Conjunto do Centro Universitário Maria Antonia,The Maria Antonia University Centre Complex,990,20,990,33,"De 1949 a 1968, o conjunto abrigou a Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo. Composto pelos edifícios Rui Barbosa e Joaquim Nabuco, destacam-se na paisagem pela presença da marquise com seis colunas na fachada principal. Ícone da resistência política e do movimento estudantil nas década de 1960 pelas diversas manifestações e debates que aconteceram em seu interior e entorno.",,,,,,"From 1949 to 1968, the complex held the School of Philosophy, Sciences and Languages at the University of Sao Paulo. It is composed of the buildings Rui Barbosa and Joaquim Nabuco, which stand out in the surroundings due to the six-column marquee on the façade. Being the stage of various political demonstrations and debates during the 1960s, it became a symbol of political resistance and of the student movement.",,,,,,Alfredo Mathias (RB) e Lucio M. Rodrigues Filho (JN),década de 1930,"Rua Maria Antônia, 294 e 242 – Higienópolis, São Paulo, SP","Condephaat (1988), Conpresp (1991)",Alfredo Mathias (Rui Barbosa building) and Lucio M. Rodrigues Filho (Joaquim Nabuco building),1930s,"Rua Maria Antonia 294/242, Sao Paulo, SP","Condephaat (1988), Conpresp (1991)",,1,,,1,,,1,1,
25,,2,bem,Conjunto do Instituto de Astronomia e Geofísica,Institute of Astronomy and Geophysics complex,1147,602,1147,615,"O conjunto ocupa 25% da área total do Parque do Estado, composto por nove edifícios originalmente: portaria, residência do diretor, pavilhão do Grande Equatorial, administração, residência do zelador, pavilhão fotográfico, pavilhão Cook, residência de empregados e pavilhão do Serviço Meridiano. Em 1946 o Instituto foi incorporado à Universidade. ",,,,,,"The complex occupies 25% of the total area of Parque do Estado (State Park), originally composed of nine buildings: reception, director’s residence, the Great Equatorial pavilion, administration, custodian’s residence, photographic pavilion, Cook pavilion, employees’ residence and the Meridian Service pavilion. In 1946, the institute was incorporated into the university.",,,,,,Alypio Leme de Oliveira,1932-1941,"Avenida Miguel Stefano, 4200 – Parque do Estado, São Paulo, SP",Em processo de tombamento (Condephaat abertura em 1994 e Conpresp abertura em 1992),Alypio Leme de Oliveira,1932-1941,"Avenida Miguel Stefano 4200, Sao Paulo, SP",In the listing process (Condephaat process began in 1994 and Conpresp in 1992),1,,1,,,,,1,,1
28,,2,bem,Prédio da Faculdade de Direito,The Law School Building,1070,310,1070,310,"A Academia de Direito de São Paulo foi inaugurada em 1828 e abrigava-se no antigo convento do Largo de São Francisco. No entanto, em 1920, após adquirir importância acadêmica, política e cultural na cidade de São Paulo, iniciou-se a construção de um novo edifício inaugurado em 1934. Este possui quatro pavimentos e porão, tendo dois pátios, sendo que o principal possui arcadas em referência ao convento colonial.",,,,,,"The Law Academy of Sao Paulo was inaugurated in 1828 and used to be housed in the former Largo de São Francisco convent. However, in 1920, after the institution acquired academic, political and cultural status in the city of Sao Paulo, the construction of a new building began, which was inaugurated in 1934. The latter has four floors, a basement and two patios —the main one has arcades in reference to the colonial convent.",,,,,,"Escritório Técnico Ramos de Azevedo, Severo & Villares Ltda.",1933-1935,"Largo de São Francisco, 95 – Centro, São Paulo, SP","Conpresp (1992), Condephaat (2002)","Ramos de Azevedo, Severo & Villares Ltd.",1933-1935,"Largo de São Francisco 95, Sao Paulo, SP","Conpresp (1992), Condephaat (2002)",,1,,,,,,1,,
29,17,2,bem,Prédio da Faculdade de Medicina,School of Medicine Building,831,310,831,310,"A Faculdade de Medicina iniciou suas atividades em 1912, ainda sem edifício próprio. Ocupou distintos prédios até 1931, com a inauguração do edifício na Avenida Doutor Arnaldo, projeto que teve apoio da Fundação Rockfeller. O edifício é composto atualmente por um embasamento e quatro pavimentos. A fachada apresenta poucos detalhes ornamentais executados em argamassa armada, caracterizando-se por linhas verticais e repetição ritmada com marcação em todos os caixilhos.",,,,,,"The School of Medicine began its activities in 1912, when it still did not have its own building. Before the inauguration of the building on Avenida Doutor Arnaldo, in 1931, whose project had received support from the Rockefeller Foundation, the School of Medicine was housed in different buildings. Currently, the building is composed of a basement and four floors. The façade has few ornamental details executed in reinforced mortar, and is characterised by vertical lines and rhythmic repetition with marks in all frames. ",,,,,,"Escritório Técnico de Obras da FMUSP, Escritório Técnico F. P. Ramos de Azevedo, Severo & Villares Ltda.",1928-1931,"Avenida Doutor Arnaldo, 455 – Cerqueira César, São Paulo, SP","Condephaat (1981), Conpresp (1991)","Technical Office for the School of Medicine’s Construction Works, Ramos de Azevedo, Severo & Villares Ltd.",1928-1931,"Avenida Doutor Arnaldo 455, Sao Paulo, SP","Condephaat (1981), Conpresp (1991)",,1,,,,,,1,,
33,,2,bem,Prédio do Instituto Oscar Freire,The Oscar Freire Institute Building,548,324,589,320,"O Instituto Oscar Freire foi construído para ser a sede do Departamento de Medicina Legal, parte do programa das novas instalações construídas para a Faculdade de Medicina em 1919. É o único pavilhão construído do plano original de Ramos de Azevedo para toda o conjunto das ciências médicas. ",,,,,,"The Oscar Freire Institute was built to be the seat of the Department of Forensic Medicine, which was part of the programme for the new facilities for the School of Medicine, built in 1919. It is the only pavilion constructed from the original plan for the medical sciences complex made by Ramos de Azevedo.",,,,,,Escritório Técnico F. P. Ramos de Azevedo,1919-1921,"Rua Teodoro Sampaio, 115 – Cerqueira César, São Paulo, SP","Condephaat (1982), Conpresp (1991)",F.P. Ramos de Azevedo Office,1919-1921,"Rua Teodoro Sampaio 115, Sao Paulo, SP","Condephaat (1982), Conpresp (1991)",,1,,,,,,1,,
34,5,2,bem,Prédio do Museu de Zoologia,Zoology Museum Building,1220,540,1220,540,"O Museu de Zoologia foi projetado pelo arquiteto Christiano Stockler das Neves. Em 1969, o Departamento é incorporado à USP e transformado em Museu. Apresenta a maior coleção zoológica da América do Sul.",,,,,,"The Museum of Zoology was designed by the architect Christiano Stockler das Neves. In 1969, the Department of Zoology was incorporated into the University of Sao Paulo and transformed into a museum. It holds the largest zoological collection in South America.",,,,,,Christiano Stockler das Neves,1940-1941,"Avenida Nazaré, 481 – Ipiranga, São Paulo, SP","Condephaat (1975), Conpresp (1991)",Christiano Stockler das Neves,1940-1941,"Avenida Nazaré 481, Sao Paulo, SP","Condephaat (1975), Conpresp (1991)",,1,,,,,,1,,
35,2,2,bem,Prédio do Museu Paulista,Paulista Museum Building,1220,274,1220,274,"Implantado numa elevação que domina os vales do Ipiranga e do Tamanduateí, o edifício fica isolado no meio do Parque da Independência e envolvido por um tratamento paisagístico cuidadoso que procura ressaltar seu caráter monumental. O edifício foi concebido para ser um monumento e segue o partido neoclássico.",,,,,,"Implanted in an elevation that dominates the Ipiranga and Tamanduateí valleys, the building remains isolated in the middle of Parque da Independência (Independence Park) and is surrounded by careful landscape design that seeks to emphasise its monumental character. The building was conceived to be a monument and follows the neoclassic style.",,,,,,Tommaso Gaudenzio Bezzi,1885-1890,"Parque da Independência – Ipiranga, São Paulo, SP","Iphan (1997), Condephaat (1975), Conpresp (1991)",Tommaso Gaudenzio Bezzi,1885-1890,"Parque da Independência, Sao Paulo, SP","Iphan (1997), Condephaat (1975), Conpresp (1991)",1,1,,,,,,1,,
37,,2,bem,Vila Penteado,The Penteado Villa,828,168,828,168,"Atual sede da Pós-Graduação da Faculdade de Arquitetura da USP, o edifício foi construído entre 1902 e 1903, sendo projeto do arquiteto sueco Carlos. É um dos poucos exemplares de art nouveau da cidade de São Paulo. Foi doado para a USP em 1947 sob a condição de que fosse sede de um curso de Arquitetura e Urbanismo. Algumas adaptações foram realizadas para abrigar o curso de graduação, que, somente em 1969, foi transferido para a Cidade Universitária, sendo o palacete destinado para a pós-graduação do mesmo curso até os dias de hoje.",,,,,,"Being the current site for the Postgraduate Department of the School of Architecture at the University of Sao Paulo, the building was constructed between 1902 and 1903 and designed by the Swedish architect Carlos Ekman. It is one of the few examples of Art Nouveau in the city of Sao Paulo. It was donated to USP in 1947 under the condition that it would hold a course in Architecture and Urbanism. It was necessary to adapt the building to make it adequate to hold an undergraduate programme. In 1969, the Undergraduate Department was transferred to the University City campus, assigning the palace house exclusively for postgraduate courses until present day.",,,,,,Carlos Elkman,1902-1905,"Rua Maranhão, 88 – Higienópolis, São Paulo, SP","Condephaat (1978), Conpresp (1991)",Carlos Elkman,1902-1905,"Rua Maranhão 88, Sao Paulo, SP","Condephaat (1978), Conpresp (1991)",1,1,,,,,,1,,
38,,2,mapa,Cidade Universitária,University City Campus,490,380,490,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,3,museu,Museu de Arte Contemporânea,Museum of Contemporary Art,1220,320,1220,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,3,museu,Museu de Arqueologia e Etnologia,Archaeology and Ethnology Museum,365,230,135,243,"O acervo possui cerca de 1.800.000 itens, composto por coleções de Etnologia Brasileira e Africana, Arqueologia do Mediterrâneo e Médio-Oriente e Arqueologia Brasileira e Americana. <br />O Museu desenvolve atividades de docência e colabora nas tarefas de secretaria acadêmica. As ações de curadoria estão relacionadas aos  laboratórios de conservação, restauro e documentação, além das exposições, educação patrimonial para o público da terceira idade, para públicos especiais e formação de professores, através dos kits didáticos, das publicações e videoteca pedagógicas.","Rua Prof. Almeida Prado, 1466, Cidade Universitária, São Paulo, SP.",+55 11 3091 4905,Temporariamente aberto somente para visitas agendadas.,educativo.mae@usp.br,www.mae.usp.br,"The collection holds around 1,800,000 items, composed by collections of Brazilian and African Ethnology, Mediterranean and Middle-Eastern Archaeology, and Brazilian and American Archaeology.<br />The museum carries out teaching activities and collaborates in academic secretariat tasks. The curatorial actions are related to the conservation, restoration and documentation laboratories, as well as to exhibitions and education in cultural heritage for senior citizens, for special audiences and for teacher education, through pedagogical kits, video library and publications.","Rua Prof. Almeida Prado, 1466, Cidade Universitária, São Paulo, SP",+55 11 3091 4905,Temporarily open only for scheduled visits,educativo.mae@usp.br,www.mae.usp.br,,,,,,,,,1,1,,,1,1,,1,,
